"Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default"
67,128001,196623,428,100,2,16.44,24,"Master's","Unemployed","Single","No",1
69,101228,21833,366,22,3,22.33,60,"Bachelor's","Full-time","Divorced","Yes",0
36,39105,44949,386,87,3,13.78,48,"PhD","Unemployed","Single","Yes",0
41,89746,101460,441,16,3,17.89,48,"Bachelor's","Part-time","Divorced","No",1
32,39617,94180,717,57,4,9.61,60,"PhD","Unemployed","Married","Yes",0
19,123459,211357,469,82,2,23.55,36,"High School","Self-employed","Single","Yes",0
22,48942,120537,528,106,3,3.89,48,"Bachelor's","Full-time","Married","Yes",0
40,18093,132079,655,62,3,2.04,24,"Master's","Unemployed","Single","No",0
29,112002,237884,594,44,3,10.24,12,"High School","Part-time","Divorced","Yes",0
51,29162,60836,575,33,2,17.22,24,"High School","Unemployed","Divorced","No",0
40,64622,163646,433,19,3,6.71,60,"High School","Part-time","Married","No",0
53,30376,232091,540,27,2,14.8,60,"Master's","Part-time","Divorced","Yes",0
24,140761,79793,397,84,1,10.42,48,"Bachelor's","Part-time","Married","No",0
62,66214,149449,504,90,2,5.78,24,"PhD","Part-time","Married","No",0
64,108941,230979,323,58,3,9.48,48,"Bachelor's","Full-time","Married","No",0
28,32310,216528,807,63,1,11.3,12,"PhD","Part-time","Divorced","No",0
48,108929,148043,600,80,1,5.79,48,"Bachelor's","Part-time","Married","Yes",0
39,139497,41740,632,78,2,2.16,48,"Master's","Full-time","Divorced","No",0
49,125557,23991,513,83,2,8.81,36,"PhD","Part-time","Married","No",0
50,98305,135649,513,6,3,22.09,24,"Bachelor's","Unemployed","Divorced","No",0
22,64459,134001,734,108,2,15.29,12,"High School","Self-employed","Single","Yes",0
21,99191,203007,384,56,3,6.83,60,"Bachelor's","Self-employed","Divorced","No",1
34,98400,108401,374,73,1,16.82,60,"Bachelor's","Part-time","Single","No",0
34,45587,248884,416,41,3,9.86,24,"Master's","Part-time","Single","Yes",1
26,72165,50476,447,82,4,23.08,36,"Master's","Part-time","Divorced","No",0
22,57989,196380,383,43,1,15.01,24,"PhD","Unemployed","Married","No",0
31,42606,184388,391,68,2,21.76,12,"Master's","Full-time","Married","No",1
69,105208,118112,419,12,2,24.25,24,"Bachelor's","Self-employed","Divorced","No",0
55,44523,228709,726,43,2,12.02,48,"Master's","Full-time","Divorced","Yes",0
69,106647,113964,498,103,4,9.03,48,"Bachelor's","Self-employed","Married","Yes",0
28,93125,152100,843,14,3,11.16,60,"High School","Unemployed","Divorced","No",1
51,136131,160776,551,111,1,13.21,48,"High School","Full-time","Single","No",0
46,35586,200857,765,50,4,2.21,48,"High School","Self-employed","Married","Yes",0
43,84508,32648,691,19,2,4.69,48,"Master's","Full-time","Married","No",0
46,131587,152090,386,114,1,19.67,60,"PhD","Part-time","Single","No",1
47,55470,191109,759,108,1,2.79,12,"Master's","Self-employed","Single","Yes",0
30,23942,69578,616,49,3,12.59,24,"PhD","Self-employed","Divorced","No",0
58,148266,146508,393,76,2,2.16,60,"PhD","Part-time","Married","No",0
27,99267,65883,577,80,1,23.47,36,"High School","Self-employed","Divorced","No",0
41,53563,144005,701,73,2,5.64,60,"High School","Self-employed","Married","Yes",0
56,143044,65160,694,62,4,21.84,48,"PhD","Part-time","Married","No",0
53,42186,5084,623,11,3,4.87,24,"Master's","Full-time","Single","Yes",0
67,85596,30223,499,35,1,6.07,48,"High School","Part-time","Divorced","No",0
22,120604,109837,416,83,2,5.92,12,"High School","Full-time","Single","No",0
52,134036,51790,314,34,4,3.56,36,"High School","Unemployed","Divorced","Yes",0
24,56930,150874,684,13,4,23.44,60,"Bachelor's","Part-time","Divorced","Yes",1
49,115259,168906,542,106,3,8.38,24,"Master's","Full-time","Divorced","No",0
49,119217,145531,436,77,1,8.73,60,"High School","Self-employed","Divorced","Yes",0
23,22039,206655,333,91,2,16.67,12,"PhD","Unemployed","Divorced","Yes",1
61,26771,9300,561,73,3,6.82,24,"Master's","Self-employed","Single","No",0
59,40074,227568,511,105,4,4.03,60,"High School","Full-time","Married","Yes",0
36,65680,39431,791,70,4,10.16,48,"Master's","Self-employed","Single","No",1
60,102015,79609,402,113,1,16.95,36,"Bachelor's","Self-employed","Divorced","No",0
67,103412,49262,504,41,3,13.01,48,"PhD","Part-time","Single","No",0
69,60000,30908,391,86,1,8.14,60,"Master's","Part-time","Single","No",0
34,60651,75338,664,60,4,18.8,60,"High School","Unemployed","Married","No",1
38,134734,45173,566,45,2,4.95,36,"Master's","Full-time","Married","Yes",0
27,68270,212410,740,0,1,4.3,12,"Master's","Full-time","Married","Yes",0
42,31067,227623,623,105,1,24.12,48,"PhD","Unemployed","Single","No",0
66,57664,228552,747,62,3,20.39,12,"Master's","Full-time","Divorced","No",0
40,148664,169558,531,86,4,10.53,12,"High School","Full-time","Married","Yes",0
66,138979,122362,810,73,2,11.57,24,"Bachelor's","Part-time","Single","No",0
22,33950,44564,551,28,3,14.88,36,"Master's","Unemployed","Divorced","Yes",0
39,144640,126851,345,98,2,4.35,60,"Master's","Unemployed","Single","Yes",0
68,133042,200296,784,18,3,18.05,48,"High School","Unemployed","Divorced","No",0
27,36803,96772,667,45,1,21.62,12,"Master's","Self-employed","Divorced","Yes",1
53,140452,180292,685,34,3,22.05,48,"PhD","Unemployed","Single","No",0
48,73004,94636,549,24,1,14.21,12,"Bachelor's","Part-time","Married","Yes",0
64,24759,95164,415,45,4,7.52,48,"Master's","Unemployed","Single","Yes",0
23,138613,112245,753,63,2,4.3,12,"Master's","Unemployed","Married","Yes",0
33,110857,89399,595,53,4,11.63,60,"Master's","Part-time","Married","No",1
61,103468,50191,476,34,4,17.38,12,"Master's","Full-time","Single","No",0
61,106556,65757,671,21,2,8.72,24,"Master's","Full-time","Divorced","Yes",0
27,53529,38230,454,58,3,20.45,12,"Bachelor's","Part-time","Divorced","No",0
38,146719,29683,468,71,1,2.95,24,"High School","Self-employed","Married","No",0
45,82649,222245,456,37,3,13.03,12,"Master's","Part-time","Single","Yes",0
43,107625,83111,667,77,3,22.01,60,"Bachelor's","Self-employed","Married","Yes",0
26,72788,240891,702,80,2,19.49,36,"Master's","Unemployed","Single","Yes",1
33,40063,21215,623,39,1,23.33,60,"Master's","Self-employed","Married","Yes",0
40,85466,64655,707,53,4,14.75,12,"Master's","Self-employed","Divorced","Yes",0
31,37936,246594,475,83,2,22.09,12,"Master's","Self-employed","Single","Yes",0
30,140794,127760,418,3,2,15.82,12,"Master's","Part-time","Single","No",0
20,103763,26203,437,33,3,24.31,60,"Master's","Self-employed","Single","No",1
48,77570,141877,373,16,2,9.92,12,"Master's","Self-employed","Divorced","Yes",0
19,57404,44330,376,81,4,11.18,36,"Bachelor's","Full-time","Divorced","No",0
47,99336,64380,581,35,1,12.2,48,"Master's","Unemployed","Single","Yes",0
30,105849,195177,374,105,1,18.65,48,"High School","Part-time","Married","No",0
27,52107,23808,523,62,2,19.93,24,"High School","Unemployed","Divorced","No",0
23,31776,124156,470,21,1,17.72,60,"Master's","Part-time","Divorced","Yes",0
44,64683,202892,671,60,2,15.51,12,"Bachelor's","Self-employed","Married","Yes",1
35,132604,126271,505,33,4,10.41,24,"Master's","Unemployed","Divorced","Yes",0
51,102982,89946,607,83,1,9.15,48,"High School","Unemployed","Divorced","Yes",0
58,84401,108657,578,116,1,7.95,48,"Master's","Part-time","Married","No",0
59,59583,192949,756,96,3,3.81,48,"Bachelor's","Unemployed","Single","No",0
49,27783,137557,761,56,4,16.09,48,"Bachelor's","Full-time","Married","No",0
68,77093,229559,765,66,4,15.92,60,"PhD","Full-time","Divorced","No",0
24,37745,79664,815,66,3,4.2,36,"PhD","Part-time","Divorced","Yes",0
45,40355,31290,844,106,2,5.41,60,"PhD","Part-time","Married","Yes",0
27,26896,56709,444,90,1,18.94,48,"Master's","Self-employed","Married","No",0
25,78982,18273,429,81,4,4.83,36,"Master's","Unemployed","Married","Yes",0
66,76234,16421,304,68,2,3.68,60,"PhD","Part-time","Divorced","Yes",0
22,86167,115262,523,3,4,22.47,48,"PhD","Unemployed","Single","No",1
21,144811,197152,787,104,1,19.94,36,"High School","Self-employed","Divorced","Yes",0
24,61938,211214,478,39,4,15.13,12,"Bachelor's","Full-time","Married","Yes",0
18,114587,113672,739,58,4,4.63,60,"PhD","Self-employed","Single","Yes",0
51,69829,105811,434,19,3,12.29,24,"PhD","Unemployed","Divorced","Yes",0
30,86294,144494,808,69,2,21.77,48,"Bachelor's","Self-employed","Single","No",0
20,86451,30205,746,19,2,14.9,36,"Master's","Unemployed","Single","Yes",0
31,24771,90414,580,48,4,19.62,36,"Bachelor's","Self-employed","Divorced","Yes",1
67,121288,221582,304,84,3,20.34,36,"PhD","Part-time","Single","Yes",0
37,113469,189912,745,91,3,14.26,24,"High School","Unemployed","Single","Yes",0
65,37820,76185,770,71,3,16.06,48,"PhD","Self-employed","Divorced","Yes",0
48,100434,77462,696,61,4,6.46,36,"High School","Unemployed","Married","Yes",0
62,63631,232748,415,24,1,21.24,24,"PhD","Self-employed","Single","No",0
48,149842,235426,844,32,4,13.06,12,"High School","Unemployed","Divorced","Yes",0
26,95452,78565,611,17,4,14.11,24,"Bachelor's","Self-employed","Married","Yes",0
22,123160,41461,506,62,3,7.92,24,"Master's","Unemployed","Married","No",0
69,94454,199494,501,107,4,3.23,12,"High School","Unemployed","Single","Yes",0
41,59223,178882,733,52,2,15.21,60,"Master's","Part-time","Divorced","Yes",0
38,45747,230709,371,27,3,4.67,60,"Bachelor's","Self-employed","Divorced","Yes",0
58,91746,172471,683,73,4,14.11,36,"PhD","Part-time","Single","No",0
23,66099,136953,775,65,1,13.3,24,"Master's","Part-time","Single","Yes",0
33,107773,98874,662,77,3,23.37,48,"Bachelor's","Unemployed","Divorced","Yes",0
39,34331,241069,324,46,2,20.46,36,"High School","Full-time","Single","Yes",0
47,26546,124844,452,20,3,12.18,60,"Bachelor's","Part-time","Single","No",0
19,100678,30524,729,18,2,13.62,36,"PhD","Self-employed","Married","Yes",1
22,72962,46813,743,110,1,23.6,60,"High School","Part-time","Divorced","Yes",0
18,116105,228711,619,31,2,8.34,24,"Bachelor's","Self-employed","Single","Yes",0
40,30577,124385,399,119,1,5.41,12,"Master's","Self-employed","Divorced","Yes",0
24,141305,56657,775,81,3,8.41,60,"Bachelor's","Unemployed","Divorced","No",0
55,125521,206642,423,65,3,20.44,60,"PhD","Unemployed","Single","No",0
49,103285,42248,799,71,3,6.68,24,"PhD","Self-employed","Divorced","No",0
32,77767,55921,546,39,2,8.38,24,"PhD","Full-time","Married","Yes",0
24,60913,19440,679,104,1,11.41,12,"Bachelor's","Self-employed","Single","No",0
23,16210,173954,327,78,1,22.51,60,"High School","Part-time","Divorced","No",1
22,122968,145545,354,46,1,20.25,12,"High School","Full-time","Married","No",1
28,61295,182162,505,54,2,24.95,36,"Bachelor's","Part-time","Married","No",0
67,148027,162067,700,31,4,6.63,24,"Bachelor's","Part-time","Divorced","Yes",0
61,57534,114096,633,35,3,4.86,60,"PhD","Full-time","Divorced","No",0
28,34604,73677,800,81,2,20.14,48,"PhD","Self-employed","Divorced","Yes",1
28,113188,168891,736,41,3,12.42,36,"PhD","Self-employed","Single","Yes",0
58,30887,90741,604,43,4,18.52,36,"Master's","Full-time","Married","No",0
37,22489,229125,531,28,2,7.41,48,"High School","Part-time","Divorced","Yes",0
59,110061,123452,668,68,3,11.9,24,"PhD","Full-time","Single","Yes",0
55,146228,223668,622,20,4,12.34,60,"High School","Self-employed","Single","Yes",0
35,64524,117409,688,51,4,18.92,24,"Bachelor's","Full-time","Divorced","Yes",0
46,76354,202799,464,88,4,23,60,"Bachelor's","Full-time","Married","No",1
43,104448,38321,347,54,3,17.5,36,"Master's","Part-time","Divorced","Yes",0
61,99720,233787,331,34,2,7.08,60,"High School","Full-time","Single","Yes",0
63,82596,162280,655,108,3,14.27,60,"Bachelor's","Part-time","Single","No",0
48,56699,67988,657,60,1,11.59,60,"PhD","Full-time","Single","Yes",0
60,60507,227493,832,116,2,3.44,36,"Master's","Part-time","Married","No",0
47,142124,167749,673,97,3,13.82,48,"High School","Unemployed","Married","Yes",0
60,59649,92868,529,6,1,23.7,12,"Master's","Self-employed","Divorced","No",1
45,34530,23014,323,16,1,17.76,48,"Master's","Part-time","Single","No",0
27,25891,215687,361,74,2,13.89,48,"Master's","Part-time","Married","Yes",1
31,64116,167256,675,102,4,16.66,24,"High School","Self-employed","Single","Yes",0
53,76685,18866,597,19,1,18.69,60,"Bachelor's","Full-time","Single","No",1
65,53733,177985,487,96,3,20.79,12,"High School","Full-time","Single","Yes",0
28,47103,210721,308,5,4,15.4,48,"Bachelor's","Self-employed","Single","Yes",0
39,125646,103615,405,25,1,8.94,60,"Master's","Self-employed","Married","No",0
64,57325,100634,847,45,2,24.93,24,"Master's","Part-time","Single","No",0
47,134395,11215,714,0,2,7.83,36,"Bachelor's","Part-time","Married","No",0
66,119121,248502,681,73,2,2.77,24,"High School","Part-time","Single","No",0
27,87233,200616,366,4,2,15.24,48,"Master's","Unemployed","Single","Yes",1
23,27871,59606,753,29,3,8.8,12,"PhD","Self-employed","Married","Yes",0
37,71734,241117,678,84,2,7.48,12,"Bachelor's","Self-employed","Single","No",0
28,116799,124659,737,82,4,21.19,12,"High School","Unemployed","Divorced","No",0
33,17402,65845,588,65,3,2.46,36,"PhD","Part-time","Single","No",1
50,57452,97383,626,59,1,10.57,12,"PhD","Self-employed","Married","No",0
41,49487,90181,709,83,3,18.37,24,"Master's","Full-time","Married","Yes",0
64,115990,73394,848,101,3,5.07,36,"PhD","Full-time","Divorced","No",0
50,123179,183708,446,33,2,21.61,48,"High School","Unemployed","Married","No",0
23,42835,109933,667,105,3,19.28,12,"High School","Full-time","Married","Yes",0
48,23449,62171,687,0,4,2.3,12,"PhD","Unemployed","Divorced","Yes",0
18,143455,36678,480,97,3,14.08,36,"PhD","Full-time","Single","No",0
44,88230,229034,550,10,2,23.78,48,"Bachelor's","Unemployed","Divorced","No",1
18,67687,134563,605,38,3,12.74,24,"Master's","Self-employed","Single","Yes",1
58,44783,49324,333,94,1,8.1,36,"PhD","Self-employed","Married","Yes",0
42,46391,165883,355,78,2,11.59,24,"PhD","Full-time","Divorced","No",0
54,129074,128293,335,31,4,13.62,60,"High School","Unemployed","Single","No",0
44,75026,223016,467,119,2,6.93,60,"PhD","Self-employed","Single","No",0
60,74836,168594,393,32,3,7.25,48,"High School","Full-time","Single","Yes",1
63,128670,220852,849,72,2,8.21,24,"Bachelor's","Self-employed","Married","No",0
67,100568,76433,749,20,1,19.41,24,"Bachelor's","Self-employed","Single","Yes",0
63,124538,197965,552,43,4,8.81,36,"PhD","Part-time","Married","No",0
22,132691,24662,529,19,3,22.4,24,"High School","Self-employed","Single","No",1
25,36353,51349,603,64,1,3.16,36,"Bachelor's","Unemployed","Married","Yes",0
67,88665,108257,546,71,2,13.46,12,"Bachelor's","Full-time","Single","Yes",0
26,116612,114409,639,40,4,8.78,48,"Bachelor's","Unemployed","Divorced","Yes",0
62,116518,120930,436,85,3,8.58,12,"Master's","Self-employed","Single","No",0
43,53862,162522,461,80,4,17.62,12,"PhD","Unemployed","Single","Yes",0
54,17567,171882,550,7,2,12.27,24,"PhD","Self-employed","Single","Yes",1
46,69442,135175,302,12,1,18.54,36,"High School","Part-time","Divorced","Yes",0
24,92180,40224,587,68,2,14.71,48,"Bachelor's","Full-time","Married","No",0
42,109608,226952,649,57,4,6.13,60,"Bachelor's","Part-time","Single","Yes",0
25,43062,128257,336,93,3,9.83,48,"High School","Part-time","Single","No",0
36,18192,10141,635,119,1,14.58,12,"High School","Full-time","Single","Yes",0
63,103395,21209,829,90,1,24.4,36,"Master's","Full-time","Single","Yes",0
42,20781,33182,525,45,2,11.16,12,"High School","Full-time","Single","Yes",0
55,42531,157033,708,18,4,22.51,60,"Bachelor's","Unemployed","Divorced","Yes",0
18,30317,208770,507,75,2,23.03,60,"PhD","Part-time","Married","Yes",0
34,91541,126203,310,79,3,24.55,12,"Master's","Full-time","Single","Yes",0
34,74672,138169,452,76,3,8.29,36,"High School","Unemployed","Divorced","No",0
58,31736,169883,399,98,2,4.09,24,"Bachelor's","Full-time","Divorced","Yes",0
43,67403,162426,487,58,3,22.44,24,"High School","Full-time","Single","Yes",0
66,149288,21242,772,90,3,24.8,12,"PhD","Full-time","Divorced","Yes",0
23,24109,222847,364,22,2,2.84,24,"High School","Part-time","Divorced","No",0
18,135247,163660,746,61,1,10.74,48,"Bachelor's","Part-time","Divorced","Yes",0
50,59708,162305,729,93,3,6.62,48,"Bachelor's","Full-time","Single","Yes",0
22,26106,36097,686,38,2,20.07,24,"Master's","Unemployed","Married","No",0
37,59277,96284,832,85,3,8.18,36,"Master's","Unemployed","Divorced","No",0
